"SCHOOL_NAME","NUM_TAKERS","CR_AVG","MATH_AVG","WRITING_AVG"
"FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL",87,387,385,373
"FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL",55,361,371,359
"FREEDOM ACADEMY HIGH SCHOOL",29,400,390,403
"GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY",41,416,390,394
"GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL",61,398,412,385
"GED PLUS s CITYWIDE",8,496,400,426
"GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES",59,436,427,424
"GEORGE WASHINGTON YABC",7,394,357,346
"GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL",85,406,391,392
"GLOBAL ENTERPRISE HIGH SCHOOL",57,372,382,375
"GOTHAM PROFESSIONAL ARTS ACADEMY",36,370,372,351
"GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL",73,362,382,356
"GRACE DODGE YABC",10,350,356,317
"GRAMERCY ARTS HIGH SCHOOL",60,391,391,394
"GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS",41,407,386,396
"GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS",56,339,349,326
"GROVER CLEVELAND HIGH SCHOOL",241,395,420,396
"HARLEM RENAISSANCE HIGH SCHOOL",29,357,318,333
"HARRY S TRUMAN HIGH SCHOOL",189,386,397,368
"HARVEY MILK HIGH SCHOOL",9,458,416,429
"HEALTH OPPORTUNITIES HIGH SCHOOL",114,363,368,364
"HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",29,355,404,363
"HERBERT H. LEHMAN HIGH SCHOOL",415,412,436,393
"HERBERT H. LEHMAN YABC",6,402,373,413
"HERITAGE SCHOOL, THE",31,358,351,345
"HIGH SCHOOL FOR ARTS AND BUSINESS",138,391,403,380
"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",49,374,384,374
"HIGH SCHOOL FOR CIVIL RIGHTS",47,363,349,342
"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",194,429,491,425
"HIGH SCHOOL FOR CONTEMPORARY ARTS",55,383,378,365
"HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES",78,412,581,431
"HIGH SCHOOL FOR ENVIRONMENTAL STUDIES",263,465,493,461
"HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES",24,400,422,402
"HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES",336,429,449,428
"HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA",37,404,393,386
"HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE",76,365,384,378
"HIGH SCHOOL FOR LAW AND PUBLIC SERVICE",94,363,378,361
"HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY",74,406,406,384
"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",66,396,398,402
"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",101,605,654,588
"HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS",63,369,380,349
"HIGH SCHOOL FOR MEDICAL PROFESSIONS",75,386,380,393
"HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW",79,418,441,414
"HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS",61,362,375,368
"HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS",57,370,371,365
"HIGH SCHOOL FOR VIOLIN AND DANCE",27,353,315,371
"HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS",73,338,349,340
"HIGH SCHOOL M560 s CITY AS SCHOOL",56,498,440,477
"HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE",92,636,648,636
"HIGH SCHOOL OF APPLIED COMMUNICATION",39,406,413,400
"HIGH SCHOOL OF ARTS AND TECHNOLOGY",75,433,433,411
"HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY",72,381,376,354
"HIGH SCHOOL OF ECONOMICS AND FINANCE",167,443,489,442
"HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS",191,395,382,376
"HIGH SCHOOL OF HOSPITALITY MANAGEMENT",58,374,375,362
"HIGH SCHOOL OF SPORTS MANAGEMENT",39,388,398,378
"HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY",238,425,474,424
"HIGH SCHOOL OF WORLD CULTURES",42,304,323,312
"HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL",9,404,368,399
"HILLCREST HIGH SCHOOL",462,395,413,386
"HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH",39,363,371,350
"HOSTOSsLINCOLN ACADEMY OF SCIENCE",66,420,426,411
"HUMANITIES & ARTS MAGNET HIGH SCHOOL",62,393,381,377
"HUMANITIES PREPARATORY ACADEMY",36,426,403,426
"INDEPENDENCE HIGH SCHOOL",14,389,371,335
"INFORMATION TECHNOLOGY HIGH SCHOOL",148,407,434,398
"INNOVATION DIPLOMA PLUS",12,416,403,381
"INSTITUTE FOR COLLABORATIVE EDUCATION",54,492,465,467
"INTERNATIONAL ARTS BUSINESS SCHOOL",54,386,391,369
"INTERNATIONAL COMMUNITY HIGH SCHOOL",34,310,324,311
"INTERNATIONAL HIGH SCHOOL AT LAFAYETTE",54,326,386,314
"INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE",69,326,409,329
"INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS",71,287,335,291
"INTERNATIONAL SCHOOL FOR LIBERAL ARTS",49,300,333,301
"INsTECH ACADEMY (M.S. / HIGH SCHOOL 368)",111,390,408,383
"IT TAKES A VILLAGE ACADEMY",56,313,320,330
"JACQUELINE KENNEDY ONASSIS HIGH SCHOOL",131,414,425,400
"JAMAICA GATEWAY TO THE SCIENCES",25,430,452,425
"JAMAICA HIGH SCHOOL",90,342,368,353
"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",69,408,390,390
"JAMES MADISON HIGH SCHOOL",518,436,475,439
"JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS",78,377,359,376
"JOHN ADAMS HIGH SCHOOL",403,391,409,392
"JOHN BOWNE HIGH SCHOOL",558,397,451,395
"JOHN DEWEY HIGH SCHOOL",448,404,468,390
"JOHN F. KENNEDY HIGH SCHOOL",109,351,362,339
"JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS",35,379,364,379
"JUAN MOREL CAMPOS SECONDARY SCHOOL",102,365,361,359
"KINGSBRIDGE INTERNATIONAL HIGH SCHOOL",52,304,356,302
"KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA)",61,392,401,387
"KURT HAHN EXPEDITIONARY LEARNING SCHOOL",43,368,378,346
"LANDMARK HIGH SCHOOL",62,390,399,381
"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",52,385,377,377
"LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL",84,416,426,391
"LEADERSHIP INSTITUTE",30,361,353,367
"LEGACY SCHOOL FOR INTEGRATED STUDIES",29,356,357,349
"LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES",259,524,561,542
"LIBERATION DIPLOMA PLUS",10,411,369,373
"LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS",26,368,436,352
"LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC",40,384,375,365
"LIFE SCIENCES SECONDARY SCHOOL",61,409,424,403
"LONG ISLAND CITY HIGH SCHOOL",392,403,420,395
"LOUIS D. BRANDEIS HIGH SCHOOL",131,370,390,358
"LOWER EAST SIDE PREPARATORY HIGH SCHOOL",112,332,557,316
"LOWER MANHATTAN ARTS ACADEMY",40,403,392,405
"LYONS COMMUNITY SCHOOL",31,371,377,355
"MANHATTAN / HUNTER SCIENCE HIGH SCHOOL",111,473,506,467
"MANHATTAN BRIDGES HIGH SCHOOL",66,336,378,344
"MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS",375,461,514,455
"MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL",121,345,517,343
"MANHATTAN INTERNATIONAL HIGH SCHOOL",49,376,460,391
"MANHATTAN THEATRE LAB HIGH SCHOOL",27,406,379,408
"MANHATTAN VILLAGE ACADEMY",95,441,473,458
"MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES",99,414,435,414
"MARTA VALLE HIGH SCHOOL",44,390,433,384
"MARTIN VAN BUREN HIGH SCHOOL",334,391,397,384
"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",78,400,426,394
"MEDGAR EVERS COLLEGE PREPARATORY SCHOOL",165,476,481,479
"METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL",28,368,365,368
"METROPOLITAN DIPLOMA PLUS HIGH SCHOOL",17,350,346,332
"METROPOLITAN HIGH SCHOOL, THE",49,347,367,341
"MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE",58,399,393,385
"MIDWOOD HIGH SCHOOL",824,478,519,476
"MILLENNIUM ART ACADEMY",67,387,402,375
"MILLENNIUM HIGH SCHOOL",144,528,553,533
"MONROE ACADEMY FOR BUSINESS/LAW",31,375,387,376
"MONROE ACADEMY FOR VISUAL ARTS & DESIGN",43,332,357,349
"MORRIS ACADEMY FOR COLLABORATIVE STUDIES",38,386,386,376
"MOTT HALL BRONX HIGH SCHOOL",67,369,367,356
"MOTT HALL HIGH SCHOOL",54,413,399,398
"MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL",63,351,375,371
"MULTICULTURAL HIGH SCHOOL",29,279,322,286
"MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS",264,407,440,393
"N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES",114,537,590,550
"N.Y.C. MUSEUM SCHOOL",103,468,492,459
"NEW DAY ACADEMY",25,348,344,354
"NEW DESIGN HIGH SCHOOL",73,391,395,382
"NEW DORP HIGH SCHOOL",391,424,437,416
"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525
"NEW EXPLORERS HIGH SCHOOL",28,367,356,361
"NEW UTRECHT HIGH SCHOOL",456,402,471,399
"NEW WORLD HIGH SCHOOL",72,332,381,335
"NEWCOMERS HIGH SCHOOL",143,323,475,329
"NEWTOWN HIGH SCHOOL",320,383,440,380
"NORMAN THOMAS HIGH SCHOOL",154,370,379,359
"NORTH QUEENS COMMUNITY HIGH SCHOOL",7,379,421,377
"NYC ISCHOOL",92,473,483,479
"OLYMPUS ACADEMY",7,400,370,370
"P.S. Q811",32,429,444,433
"PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES",67,337,361,340
"PACE HIGH SCHOOL",85,423,438,432
"PACIFIC HIGH SCHOOL",9,352,341,300
"PAN AMERICAN INTERNATIONAL HIGH SCHOOL",55,317,323,311
"PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE",30,321,351,298
"PARK EAST HIGH SCHOOL",51,373,379,376
"PARK SLOPE COLLEGIATE",72,379,416,380
"PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL",46,401,397,375
"PAUL ROBESON HIGH SCHOOL",53,365,363,355
"PEACE AND DIVERSITY ACADEMY",34,390,401,364
"PELHAM PREPARATORY ACADEMY",76,431,438,419
"PERFORMANCE CONSERVATORY HIGH SCHOOL",30,361,353,360
"PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL",61,380,386,383
"PHOENIX ACADEMY",9,367,370,360
"PORT RICHMOND HIGH SCHOOL",271,424,438,417
"PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL",43,370,367,363
"PROFESSIONAL PERFORMING ARTS HIGH SCHOOL",94,509,490,523
"PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS",144,364,379,371
"QUEENS ACADEMY HIGH SCHOOL",17,398,382,388
"QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL",68,420,445,400
"QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL",99,513,523,502
"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",44,391,401,364
"QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE",121,612,660,596
"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",175,425,434,420
"QUEENS PREPARATORY ACADEMY",52,360,380,359
"QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY",6,403,408,367
"QUEENS SCHOOL OF INQUIRY, THE",58,455,498,443
"QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL",155,417,447,406
"RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES",54,402,427,408
"RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL",94,416,422,397
"RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY",52,384,385,389
"REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS",42,429,404,420
"RICHARD R. GREEN HIGH SCHOOL OF TEACHING",84,408,384,403
"RICHMOND HILL HIGH SCHOOL",404,382,404,368
"RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141)",113,438,455,440
"ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL",99,431,458,441
"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",80,443,447,440
"ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY",93,423,426,416
"SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL",47,398,416,370
"SATELLITE ACADEMY HIGH SCHOOL",33,350,337,345
"SCHOLARS' ACADEMY",89,499,537,496
"SCHOOL FOR COMMUNITY RESEARCH AND LEARNING",16,366,400,368
"SCHOOL FOR DEMOCRACY AND LEADERSHIP",38,377,404,372
"SCHOOL FOR EXCELLENCE",32,363,360,351
"SCHOOL FOR HUMAN RIGHTS, THE",35,348,381,359
"SCHOOL FOR INTERNATIONAL STUDIES",64,405,415,392
"SCHOOL FOR LEGAL STUDIES",134,413,396,395
"SCHOOL OF THE FUTURE HIGH SCHOOL",66,517,533,515
"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",92,399,417,395
"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",69,457,462,441
"SECONDARY SCHOOL FOR JOURNALISM",58,397,391,381
"SECONDARY SCHOOL FOR LAW",59,398,411,394
"SHEEPSHEAD BAY HIGH SCHOOL",236,383,392,370
"SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL",65,364,378,348
"SOUTH BROOKLYN COMMUNITY HIGH SCHOOL",8,430,416,425
"STATEN ISLAND TECHNICAL HIGH SCHOOL",227,635,682,636
"STUYVESANT HIGH SCHOOL",832,679,735,682
"SUSAN E. WAGNER HIGH SCHOOL",535,455,474,459
"TALENT UNLIMITED HIGH SCHOOL",81,469,472,475
"TEACHERS PREPARATORY HIGH SCHOOL",69,392,416,388
"THE BRONXWOOD PREPARATORY ACADEMY",48,377,372,363
